Time (s),Ux,Uy,Uz,k,omega,p
772,0.000355999829055,1.40058912632e-05,0.000353318045022,0.000161810158792,4.07712327986e-06,0.00476856063696
773,0.000351332264204,1.39293222288e-05,0.000350280834581,0.000160955789323,4.08006011384e-06,0.00476639470537
774,0.000346596017542,1.38486343491e-05,0.000347058017026,0.000160045630253,4.08155799307e-06,0.00476843896085
775,0.000341486683459,1.37783896618e-05,0.000344109257489,0.000159095524975,4.08559714064e-06,0.00476612556288
776,0.000336599585947,1.37020670144e-05,0.000340802740789,0.000158096261326,4.087113188e-06,0.00475947454811
777,0.000331921745264,1.36242783709e-05,0.000337336172573,0.000157073580058,4.08642301834e-06,0.00474298760471
778,0.000327126447655,1.35384968692e-05,0.000333622136813,0.000156070915441,4.08557588137e-06,0.00472701692132
779,0.000322771782955,1.34587178247e-05,0.000330163267268,0.000155039986982,4.0819700918e-06,0.00470802503416
780,0.000318485879703,1.33792590998e-05,0.000326660176349,0.00015397633628,4.0807130295e-06,0.00468325826145
781,0.000314377873937,1.33039817114e-05,0.000323510737118,0.000152888378456,4.07452079259e-06,0.0046727648241
782,0.000310165116467,1.32210096192e-05,0.000320110578579,0.000151795897624,4.07112339754e-06,0.00466605641331
783,0.000305815525958,1.31387896166e-05,0.000317015437236,0.000150706026914,4.06638961274e-06,0.00465259441611
784,0.000301657138308,1.30574740108e-05,0.000313986427715,0.000149614415777,4.05929391805e-06,0.00462791317093
785,0.000297738075164,1.29862376962e-05,0.00031138661695,0.000148516943587,4.05209380966e-06,0.00461199154311
786,0.000293999782824,1.29079714637e-05,0.000308875729038,0.000147426037723,4.04432316205e-06,0.00459962606334
787,0.000291035052059,1.28401854476e-05,0.000306738914536,0.000146375065917,4.03834123871e-06,0.00458944394688
788,0.000288571694806,1.27652852934e-05,0.000304791953291,0.000145323856353,4.03013692958e-06,0.00457377110132
789,0.000286509133292,1.2699277314e-05,0.000303160507184,0.000144280373033,4.01959318729e-06,0.00455574135182
790,0.000284331840727,1.26429202927e-05,0.000301598781458,0.000143234360737,4.01076326913e-06,0.00454186506354
791,0.000282621025655,1.25925289648e-05,0.000300403801088,0.000142202313869,4.00467142997e-06,0.00452081975898
792,0.000280948992265,1.2544912024e-05,0.000299688188344,0.000141180738713,3.99897892457e-06,0.00450125593546
793,0.000279594531316,1.2500670696e-05,0.000299302359429,0.000140155665012,3.99387564562e-06,0.00449652499856
794,0.000278608590662,1.24506787034e-05,0.000299294968677,0.000139149247347,3.98777005356e-06,0.00449286137163
795,0.000278015469784,1.24135787766e-05,0.000299316461075,0.00013818388202,3.97852221528e-06,0.00448416330691
796,0.000277548783538,1.23702738785e-05,0.000299874051413,0.000137259472575,3.96794468667e-06,0.00448051627846
797,0.000277583010995,1.23356285119e-05,0.000300867037359,0.000136362163784,3.95914381262e-06,0.00447992201776
798,0.00027767760982,1.23044546971e-05,0.000302170425428,0.000135488599058,3.95028875116e-06,0.00448690173029
799,0.000278418552183,1.22798626173e-05,0.000304355547666,0.000134638247509,3.94064388573e-06,0.00450319291935
800,0.000279364030012,1.22466526516e-05,0.000306933239502,0.000133854694094,3.93412184115e-06,0.00451306939898
801,0.000280405936888,1.22065361403e-05,0.000309730364053,0.000133093748377,3.92768427715e-06,0.00452747777446
802,0.000281031136808,1.21617890286e-05,0.000312639395776,0.000132365022825,3.91864167994e-06,0.00455751087945
803,0.000281605368161,1.21110548463e-05,0.000315485959217,0.000131643863009,3.90880727813e-06,0.00458760907453
804,0.000281955180823,1.20510507504e-05,0.000318484904583,0.000130945219371,3.90057495329e-06,0.00460609935911
805,0.000282388143016,1.19951981501e-05,0.000321650237542,0.000130282583065,3.88914838177e-06,0.00462464778744
806,0.000282708119048,1.19404844519e-05,0.000324766308005,0.000129676648647,3.88038505732e-06,0.00466349449527
807,0.000282688463902,1.18943480494e-05,0.000327665235501,0.000129087285749,3.8699814117e-06,0.00470213446612
808,0.000282609685278,1.18419855004e-05,0.000330262328307,0.000128544483399,3.85964377421e-06,0.00472878400848
809,0.000282592290183,1.17892719802e-05,0.000332782158893,0.000128014094179,3.84632873111e-06,0.00474298911457
810,0.00028230502568,1.17204104571e-05,0.000334971745309,0.000127511518666,3.83271569506e-06,0.00475648660254
811,0.000281646707025,1.16674403453e-05,0.000337029870057,0.000126992531657,3.81902549652e-06,0.0047578293908
812,0.000280754140987,1.16050608087e-05,0.000338673819367,0.000126490474118,3.80891094195e-06,0.00475913757325
813,0.000279540783202,1.15492965442e-05,0.000339779092245,0.000125978261719,3.79404551139e-06,0.00476778620973
814,0.00027815226618,1.14832840771e-05,0.000340644269068,0.000125419010376,3.77897293489e-06,0.00477054361033
815,0.000276713086186,1.14206610726e-05,0.000341754027164,0.000124863826802,3.76486410483e-06,0.00478113080484
816,0.00027515010608,1.13612653367e-05,0.000342517909003,0.000124305139482,3.7518183457e-06,0.00478295671207
817,0.000273333522951,1.12945593185e-05,0.000342716415935,0.000123740418586,3.7361737007e-06,0.00475807537869
818,0.000270946414954,1.12198796297e-05,0.000342044912675,0.000123170199266,3.71984189035e-06,0.00472591496749
819,0.000268299141911,1.11550388425e-05,0.000341333691303,0.000122562127286,3.70382491829e-06,0.00470149670165
820,0.000265993655781,1.10846765773e-05,0.000340159738851,0.000121921356023,3.6861447088e-06,0.00468269765271
821,0.000263531124989,1.10122044395e-05,0.000338882784135,0.000121251628533,3.66694014984e-06,0.00466696098354
822,0.000261048711474,1.09199101149e-05,0.000337531793492,0.000120557875402,3.65090674708e-06,0.00463554154839
823,0.000258580795032,1.08369321044e-05,0.000336197135682,0.000119835523953,3.63221882892e-06,0.00459052828167
824,0.00025580271115,1.07431166451e-05,0.000334856169316,0.000119072389524,3.61263613693e-06,0.004542631153
825,0.000253446535493,1.06608937638e-05,0.000333159479032,0.000118294942188,3.59253918007e-06,0.00449581500484
826,0.000250960499652,1.05639088445e-05,0.000330914162264,0.000117512864444,3.57501795833e-06,0.0044465814494
827,0.000248521398025,1.04685132465e-05,0.000328535252104,0.000116714780145,3.55776481519e-06,0.00439033942985
828,0.000245560815328,1.03701510795e-05,0.000325835798463,0.000115923964789,3.53750211641e-06,0.00434096547593
829,0.000242392084717,1.0261165959e-05,0.000323024896609,0.000115111316149,3.51397967963e-06,0.0042953127467
830,0.000239232981269,1.01450940165e-05,0.000320347069404,0.000114287729756,3.49028053761e-06,0.0042474136215
